Issue,Symptoms_Observed,Root_Cause_Problem,Solution,Category,Device,combined
Remote connection not possible,BCN authentication failed,New windows update,reconfigure BCN authentication via smartcard,Desktop,PC,remote connection not possible bcn authentication failed new windows update
Relay card not working,Relay not powering up,Drivers uninstalled,install Drivers,Bench_HW,PC,relay card not working relay not powering up drivers uninstalled
Lauterbach not working,target power fail,lauterbach JTAg not connected,connect Lauterbach properly,Debugger,Trace32,lauterbach not working target power fail lauterbach jtag not connected
Bus off testing,,,Support for ETH disconnect test,Vector_HW,Bench,bus off testing  
Flashing failed via VX Box,Flashing failed via VX tool,SW unstability,flash with lauterbach,Debugger,ECU,flashing failed via vx box flashing failed via vx tool sw unstability
Relay card not working,incorrect Relay card use,user bench knowledge lacking,teach setup and use,Bench_HW,Bench,relay card not working incorrect relay card use user bench knowledge lacking
Luaterbach boot failing,Lauterbach application not opening,scripts issues,reinstall lauterbach installation,PC,PC,luaterbach boot failing lauterbach application not opening scripts issues
Monitor setup on 47Q,monitor required for smartcard access,,setup monitor,Setup_Change,Bench,monitor setup on 47q monitor required for smartcard access 
ETH and lauterbach connection check,no communication observed,"sample not flashed properly, counters not running",erase and reflash,ECU_SW,ECU,"eth and lauterbach connection check no communication observed sample not flashed properly, counters not running"
Sample changes required,sample swapping as per use case,,change samples,Setup_Change,Bench,sample changes required sample swapping as per use case 
Sample Flashing not working via lauterbach,Sample bricked,sample showing unusual behaviour,change samples,ECU,ECU,sample flashing not working via lauterbach sample bricked sample showing unusual behaviour
CR sample COM Debugging,Communication not happening,vector hardware manager config changed,configure ethernet ports again,Vector_HW,VN5650,cr sample com debugging communication not happening vector hardware manager config changed
CR sample recovery,sample bricked,Incorrect SW flashing,dediprog Flash erase,ECU_SW,ECU,cr sample recovery sample bricked incorrect sw flashing
Fatal Error from InterCOM-Driver for T32 Device,Cannot bind read socket,previous lauterbach session not closed properly,Restart PC,Debugger,Trace32,fatal error from intercom-driver for t32 device cannot bind read socket previous lauterbach session not closed properly
Bench not reachable remotely,"Windows update, BCN Blocked",Windows update,reconfigure BCN authentication settings,PC,PC,"bench not reachable remotely windows update, bcn blocked windows update"
No Sample communication,Communication not happening,Unknown,,ECU,ECU,no sample communication communication not happening unknown
No Sample Communication,Communication not happening,VHM config correction,swap communication channels on RBS,Vector_HW,Bench,no sample communication communication not happening vhm config correction
Bench not reachable remotely,"Windows update, BCN Blocked",Windows update,take PC to IT space as login blocked,PC,PC,"bench not reachable remotely windows update, bcn blocked windows update"
Target power fail on Lauterbach,ECU not detecting,sample not drawing power,check relay and reopen T32 application,Debugger,Trace32,target power fail on lauterbach ecu not detecting sample not drawing power
Lauterbach connection fail,lauterbach not powering on,wiring setup wrong,change wiring,Bench_HW,Bench,lauterbach connection fail lauterbach not powering on wiring setup wrong
Powersupply unit not connecting,no remote control for PSU,connection loose,reconnect and hard reset,Bench_HW,Bench,powersupply unit not connecting no remote control for psu connection loose
VN box to PC connection,D-Link not established,using USB-C,change with D-Link,Bench_HW,Bench,vn box to pc connection d-link not established using usb-c
lauterbach connection fail,lauterbach not connected,check lauterbach connection,connect JTAG properly,Bench_HW,Bench,lauterbach connection fail lauterbach not connected check lauterbach connection
lauterbach not allowing erase,flash erase script not running fully,suspect issue with ECU SW,dediprog Flash erase,Debugger,Trace32,lauterbach not allowing erase flash erase script not running fully suspect issue with ecu sw
Failure injection test,CAN off testing,,setup MPR,ECU,Bench,failure injection test can off testing 
Sample bricked,,,,,,sample bricked  
Antenna Status detection not working,,,,,,antenna status detection not working  
Sample counters run only for 1 second and then breaks,,,,,,sample counters run only for 1 second and then breaks  
PDU not connecting,,,,,,pdu not connecting  
Connect T32 to Cr sample,,,,,,connect t32 to cr sample  
Communication not happening,,,,,,communication not happening  
New Testbench build,,,,,,new testbench build  
Relay Card not functioning,,,,,,relay card not functioning  
